<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: phase4-idukki_phase4_monthly_observed_aggregate.csv>
index,month,idukki_rain_reported_days,idukki_rain_mm_mean_on_reported_days,idukki_inflow_reported_days,idukki_inflow_mcm_day_mean_on_reported_days,idukki_station_generation_reported_days,idukki_station_generation_mu_day_mean_on_reported_days,idukki_storage_reported_days,idukki_storage_mcm_median_on_reported_days
21,2021-05,25,21.12,29,9.377241379310345,31,7.61058064516129,31,510.11
22,2021-06,27,25.37037037037037,30,15.6738,30,7.0051,30,623.4535000000001
23,2021-07,31,29.736451612903224,31,22.440387096774195,31,10.518387096774193,31,810.849
24,2021-08,29,19.524827586206897,31,14.318709677419356,31,11.055677419354838,31,963.661
25,2021-09,28,15.092857142857142,30,13.6162,30,4.857233333333334,30,1135.741
26,2021-10,29,22.93103448275862,31,24.135483870967743,31,12.557258064516128,31,1331.225
27,2021-11,23,18.68695652173913,30,20.06533333333333,30,16.7267,30,1393.786
28,2021-12,5,11.04,30,8.768066666666668,31,10.12583870967742,31,1404.701
29,2022-01,1,2.2,29,1.815344827586207,31,9.76083870967742,31,1292.15
30,2022-02,1,25.6,18,1.2667222222222223,26,9.83526923076923,26,1115.8795
31,2022-03,2,4.3,24,1.3102916666666666,30,12.913133333333333,30,894.7774999999999
32,2022-04,17,17.63529411764706,30,3.2133333333333334,30,13.320433333333334,30,681.3115
33,2022-05,23,19.6,31,7.944774193548388,31,7.58716129032258,31,550.239
34,2022-06,28,12.085714285714284,29,5.814931034482759,29,6.6194482758620685,29,532.344
35,2022-07,30,35.913333333333334,31,27.42816129032258,30,7.081633333333333,31,895.201
36,2022-08,25,37.296,31,32.598354838709675,31,16.767967741935486,31,1166.706
37,2022-09,18,15.122222222222222,30,12.740333333333332,30,13.3614,30,1185.7395
38,2022-10,24,16.075,31,7.166322580645161,31,6.018354838709677,31,1158.76
39,2022-11,15,12.133333333333333,29,3.632724137931034,29,6.346172413793103,29,1161.078
40,2022-12,9,8.488888888888887,31,2.088806451612903,31,7.115483870967743,31,1086.253
41,2023-01,2,2.0,30,0.9477,31,7.603903225806452,31,939.799
42,2023-02,1,0.6,21,1.2142857142857142,28,9.136535714285715,28,799.577
43,2023-03,7,8.314285714285713,24,1.0373333333333334,31,6.352838709677419,31,653.906
44,2023-04,10,16.52,27,1.796111111111111,30,8.180299999999999,30,525.5065
45,2023-05,19,11.589473684210526,30,2.0440666666666667,31,10.56967741935484,31,386.646
46,2023-06,27,15.133333333333336,30,3.4966,30,6.987766666666667,30,213.086
47,2023-07,30,28.65333333333333,30,15.099799999999998,30,2.6900666666666666,30,367.1095
48,2023-08,16,8.7,29,2.9218275862068968,31,4.655096774193548,31,460.121
49,2023-09,30,19.766666666666666,30,8.5305,29,1.562448275862069,30,481.607
50,2023-10,23,15.052173913043475,31,10.856096774193547,31,2.612516129032258,31,670.374
51,2023-11,15,14.84,30,6.472266666666667,30,1.5234,30,782.7660000000001
52,2023-12,5,11.48,31,3.6477096774193543,31,2.03958064516129,31,855.445
53,2024-01,3,29.066666666666663,30,2.290766666666667,31,3.748032258064516,31,863.957
54,2024-02,0,,21,0.7660952380952382,29,4.76903448275862,29,797.875
55,2024-03,0,,24,0.6132083333333334,31,4.684483870967742,31,694.215
56,2024-04,1,5.8,20,0.84055,30,6.901333333333333,30,583.0275
57,2024-05,23,19.643478260869564,29,4.810275862068965,31,7.116870967741935,31,484.916
58,2024-06,28,18.6,30,12.9674,30,8.847399999999999,30,437.2755
59,2024-07,29,33.51724137931034,31,23.543548387096774,31,7.705709677419355,31,651.693
60,2024-08,28,11.907142857142857,30,13.0401,30,8.980033333333333,30,907.992
61,2024-09,18,15.538888888888888,28,8.537,28,7.352107142857143,28,986.235
62,2024-10,23,12.834782608695653,30,7.251966666666666,30,4.199133333333333,30,979.838
63,2024-11,14,4.985714285714286,28,4.44825,28,4.329607142857143,28,1055.8175
64,2024-12,12,11.183333333333332,30,4.606766666666667,30,3.929433333333333,30,1051.8455
65,2025-01,2,0.8999999999999999,31,1.1500645161290324,31,5.585258064516129,31,998.021
66,2025-02,0,,16,0.8576875,27,6.3373333333333335,27,903.162
67,2025-03,5,11.32,22,1.1891363636363637,28,7.919321428571429,28,754.0364999999999
68,2025-04,8,14.25,25,1.38476,29,6.724379310344828,29,643.587
69,2025-05,19,39.34736842105264,27,13.323962962962964,28,9.8825,28,495.8055
70,2025-06,29,32.668965517241375,29,27.38955172413793,29,15.540172413793105,29,607.971
71,2025-07,30,27.040000000000003,30,23.920033333333333,30,14.980066666666666,30,852.749
72,2025-08,25,24.168000000000003,31,16.344806451612904,31,12.008,31,1059.932
73,2025-09,28,14.214285714285714,30,10.010566666666668,30,9.2589,30,1106.4450000000002
74,2025-10,24,9.483333333333333,31,13.65567741935484,31,10.729096774193549,31,1120.017
75,2025-11,13,7.076923076923077,29,5.031793103448276,11,11.628363636363636,29,1152.134
76,2025-12,4,13.0,29,2.210896551724138,27,9.061296296296296,31,1141.534
77,2026-01,0,,28,1.1811428571428573,30,6.670333333333333,30,989.3625
78,2026-02,6,2.6333333333333333,19,0.8298947368421054,27,7.387481481481481,27,872.201
79,2026-03,6,9.333333333333334,27,1.3240740740740742,31,9.765129032258065,31,706.751
80,2026-04,6,12.266666666666666,22,1.3716363636363635,29,9.014241379310343,29,539.816
81,2026-05,15,6.053333333333333,26,1.6388076923076924,31,7.840354838709678,31,377.251
82,2026-06,29,15.510344827586207,29,6.048758620689655,30,4.035333333333333,30,340.606
83,2026-07,29,24.71034482758621,31,10.718193548387095,31,3.767032258064517,31,416.13
84,2026-08,30,27.1,31,25.30106451612903,31,3.9557096774193545,31,809.712
85,2026-09,9,12.466666666666669,22,5.303181818181819,22,7.645363636363637,22,907.282
