date,category,period,metric,mw,time_from,time_to,frequency_hz,classification,source_sha256
2024-04-06,maximum,Evening,Generation,1673,22:00,22:30,49.95,official_observed_reference,7a680e53604c87f24d78a83a68292b96fd1b21c71264d3eb0bd7829a78deb433
2024-04-06,maximum,Evening,Consumption,5364,22:00,22:30,49.95,official_observed_reference,7a680e53604c87f24d78a83a68292b96fd1b21c71264d3eb0bd7829a78deb433
2024-04-06,maximum,Morning,Generation,1052,05:30,06:00,50.07,official_observed_reference,7a680e53604c87f24d78a83a68292b96fd1b21c71264d3eb0bd7829a78deb433
2024-04-06,maximum,Morning,Consumption,4120,05:30,06:00,50.07,official_observed_reference,7a680e53604c87f24d78a83a68292b96fd1b21c71264d3eb0bd7829a78deb433
2024-04-06,minimum,Night,Generation,839,04:30,05:00,50.03,official_observed_reference,7a680e53604c87f24d78a83a68292b96fd1b21c71264d3eb0bd7829a78deb433
2024-04-06,minimum,Night,Consumption,4036,04:30,05:00,50.03,official_observed_reference,7a680e53604c87f24d78a83a68292b96fd1b21c71264d3eb0bd7829a78deb433
2024-04-06,minimum,Day,Generation,282,10:00,10:30,50.01,official_observed_reference,7a680e53604c87f24d78a83a68292b96fd1b21c71264d3eb0bd7829a78deb433
2024-04-06,minimum,Day,Consumption,3873,09:00,09:30,50.02,official_observed_reference,7a680e53604c87f24d78a83a68292b96fd1b21c71264d3eb0bd7829a78deb433
2024-04-07,maximum,Day,Generation,454,17:30,18:00,50.05,official_observed_reference,41b539c489fbfca6cf77b6ced409ec0927ff741550b19cc21495d9871f4efcd3
2024-04-07,maximum,Day,Consumption,4141,15:00,15:30,50.00,official_observed_reference,41b539c489fbfca6cf77b6ced409ec0927ff741550b19cc21495d9871f4efcd3
2024-04-07,maximum,Evening,Generation,1375,21:30,22:00,50.04,official_observed_reference,41b539c489fbfca6cf77b6ced409ec0927ff741550b19cc21495d9871f4efcd3
2024-04-07,maximum,Evening,Consumption,5412,22:30,23:00,50.09,official_observed_reference,41b539c489fbfca6cf77b6ced409ec0927ff741550b19cc21495d9871f4efcd3
2024-04-07,maximum,Morning,Generation,1077,05:00,05:30,50.06,official_observed_reference,41b539c489fbfca6cf77b6ced409ec0927ff741550b19cc21495d9871f4efcd3
2024-04-07,maximum,Morning,Consumption,4253,05:00,05:30,50.06,official_observed_reference,41b539c489fbfca6cf77b6ced409ec0927ff741550b19cc21495d9871f4efcd3
2024-04-07,minimum,Night,Generation,454,17:30,18:00,50.05,official_observed_reference,41b539c489fbfca6cf77b6ced409ec0927ff741550b19cc21495d9871f4efcd3
2024-04-07,minimum,Night,Consumption,4145,18:00,18:30,50.09,official_observed_reference,41b539c489fbfca6cf77b6ced409ec0927ff741550b19cc21495d9871f4efcd3
2024-04-07,minimum,Day,Generation,275,17:00,17:30,50.03,official_observed_reference,41b539c489fbfca6cf77b6ced409ec0927ff741550b19cc21495d9871f4efcd3
2024-04-07,minimum,Day,Consumption,3517,10:30,11:00,50.01,official_observed_reference,41b539c489fbfca6cf77b6ced409ec0927ff741550b19cc21495d9871f4efcd3
2024-04-08,maximum,Day,Generation,1294,17:30,18:00,50.11,official_observed_reference,c745e2e52187086fa2304266c8ba566ffe33481c1b076c3c44408dbdefb1820a
2024-04-08,maximum,Day,Consumption,4820,15:30,16:00,50.03,official_observed_reference,c745e2e52187086fa2304266c8ba566ffe33481c1b076c3c44408dbdefb1820a
2024-04-08,maximum,Evening,Generation,1636,22:00,22:30,50.04,official_observed_reference,c745e2e52187086fa2304266c8ba566ffe33481c1b076c3c44408dbdefb1820a
2024-04-08,maximum,Evening,Consumption,5487,22:30,23:00,50.08,official_observed_reference,c745e2e52187086fa2304266c8ba566ffe33481c1b076c3c44408dbdefb1820a
2024-04-08,maximum,Morning,Generation,939,06:00,06:30,50.07,official_observed_reference,c745e2e52187086fa2304266c8ba566ffe33481c1b076c3c44408dbdefb1820a
2024-04-08,maximum,Morning,Consumption,4119,05:30,06:00,50.08,official_observed_reference,c745e2e52187086fa2304266c8ba566ffe33481c1b076c3c44408dbdefb1820a
2024-04-08,minimum,Night,Generation,614,04:30,05:00,50.06,official_observed_reference,c745e2e52187086fa2304266c8ba566ffe33481c1b076c3c44408dbdefb1820a
2024-04-08,minimum,Night,Consumption,4089,04:30,05:00,50.06,official_observed_reference,c745e2e52187086fa2304266c8ba566ffe33481c1b076c3c44408dbdefb1820a
2024-04-08,minimum,Day,Generation,413,07:30,08:00,50.01,official_observed_reference,c745e2e52187086fa2304266c8ba566ffe33481c1b076c3c44408dbdefb1820a
2024-04-08,minimum,Day,Consumption,4018,09:00,09:30,50.00,official_observed_reference,c745e2e52187086fa2304266c8ba566ffe33481c1b076c3c44408dbdefb1820a
2024-04-09,maximum,Day,Generation,1268,16:30,17:00,49.93,official_observed_reference,677f62963e7dfa3b863586e55418d5b3ff3dc73c643e9f77c68cc113ef89cfaa
2024-04-09,maximum,Day,Consumption,4897,15:30,16:00,50.09,official_observed_reference,677f62963e7dfa3b863586e55418d5b3ff3dc73c643e9f77c68cc113ef89cfaa
2024-04-09,maximum,Evening,Generation,1647,22:00,22:30,50,official_observed_reference,677f62963e7dfa3b863586e55418d5b3ff3dc73c643e9f77c68cc113ef89cfaa
2024-04-09,maximum,Evening,Consumption,5493,22:30,23:00,49.99,official_observed_reference,677f62963e7dfa3b863586e55418d5b3ff3dc73c643e9f77c68cc113ef89cfaa
2024-04-09,maximum,Morning,Generation,756,05:00,05:30,50.02,official_observed_reference,677f62963e7dfa3b863586e55418d5b3ff3dc73c643e9f77c68cc113ef89cfaa
2024-04-09,maximum,Morning,Consumption,4276,05:00,05:30,50.02,official_observed_reference,677f62963e7dfa3b863586e55418d5b3ff3dc73c643e9f77c68cc113ef89cfaa
2024-04-09,minimum,Night,Generation,530,04:30,05:00,50.01,official_observed_reference,677f62963e7dfa3b863586e55418d5b3ff3dc73c643e9f77c68cc113ef89cfaa
2024-04-09,minimum,Night,Consumption,4205,04:30,05:00,50.01,official_observed_reference,677f62963e7dfa3b863586e55418d5b3ff3dc73c643e9f77c68cc113ef89cfaa
2024-04-09,minimum,Day,Generation,443,09:00,09:30,50.06,official_observed_reference,677f62963e7dfa3b863586e55418d5b3ff3dc73c643e9f77c68cc113ef89cfaa
2024-04-09,minimum,Day,Consumption,4066,09:00,09:30,50.06,official_observed_reference,677f62963e7dfa3b863586e55418d5b3ff3dc73c643e9f77c68cc113ef89cfaa
2024-04-10,maximum,Day,Generation,911,15:30,16:00,50.14,official_observed_reference,4fa0d7c876c37fb87a2c3ea5868e66b6ae0c9aed3c97eca117c7544c3f366b18
2024-04-10,maximum,Day,Consumption,4446,15:30,16:00,50.14,official_observed_reference,4fa0d7c876c37fb87a2c3ea5868e66b6ae0c9aed3c97eca117c7544c3f366b18
2024-04-10,maximum,Evening,Generation,1445,22:00,22:30,50.02,official_observed_reference,4fa0d7c876c37fb87a2c3ea5868e66b6ae0c9aed3c97eca117c7544c3f366b18
2024-04-10,maximum,Evening,Consumption,5389,22:30,23:00,50.04,official_observed_reference,4fa0d7c876c37fb87a2c3ea5868e66b6ae0c9aed3c97eca117c7544c3f366b18
2024-04-10,maximum,Morning,Generation,755,05:30,06:00,50.1,official_observed_reference,4fa0d7c876c37fb87a2c3ea5868e66b6ae0c9aed3c97eca117c7544c3f366b18
2024-04-10,maximum,Morning,Consumption,4279,05:00,05:30,49.97,official_observed_reference,4fa0d7c876c37fb87a2c3ea5868e66b6ae0c9aed3c97eca117c7544c3f366b18
2024-04-10,minimum,Night,Generation,563,18:30,19:00,49.96,official_observed_reference,4fa0d7c876c37fb87a2c3ea5868e66b6ae0c9aed3c97eca117c7544c3f366b18
2024-04-10,minimum,Night,Consumption,4142,18:00,18:30,50.06,official_observed_reference,4fa0d7c876c37fb87a2c3ea5868e66b6ae0c9aed3c97eca117c7544c3f366b18
2024-04-10,minimum,Day,Generation,178,08:00,08:30,50.02,official_observed_reference,4fa0d7c876c37fb87a2c3ea5868e66b6ae0c9aed3c97eca117c7544c3f366b18
2024-04-10,minimum,Day,Consumption,3550,09:00,09:30,50.03,official_observed_reference,4fa0d7c876c37fb87a2c3ea5868e66b6ae0c9aed3c97eca117c7544c3f366b18
2024-04-11,maximum,Day,Generation,1230,17:30,18:00,50.04,official_observed_reference,3da39ba3caf4ad06c8f16537e2e3908357bd15587fdfab25652d875b270f4202
2024-04-11,maximum,Day,Consumption,4715,15:30,16:00,49.99,official_observed_reference,3da39ba3caf4ad06c8f16537e2e3908357bd15587fdfab25652d875b270f4202
2024-04-11,maximum,Evening,Generation,1528,22:00,22:30,49.97,official_observed_reference,3da39ba3caf4ad06c8f16537e2e3908357bd15587fdfab25652d875b270f4202
2024-04-11,maximum,Evening,Consumption,5319,22:00,22:30,49.97,official_observed_reference,3da39ba3caf4ad06c8f16537e2e3908357bd15587fdfab25652d875b270f4202
2024-04-11,maximum,Morning,Generation,692,06:00,06:30,50.01,official_observed_reference,3da39ba3caf4ad06c8f16537e2e3908357bd15587fdfab25652d875b270f4202
2024-04-11,maximum,Morning,Consumption,4108,05:30,06:00,50.07,official_observed_reference,3da39ba3caf4ad06c8f16537e2e3908357bd15587fdfab25652d875b270f4202
2024-04-11,minimum,Night,Generation,555,04:00,04:30,49.97,official_observed_reference,3da39ba3caf4ad06c8f16537e2e3908357bd15587fdfab25652d875b270f4202
2024-04-11,minimum,Night,Consumption,4056,05:00,05:30,49.98,official_observed_reference,3da39ba3caf4ad06c8f16537e2e3908357bd15587fdfab25652d875b270f4202
2024-04-11,minimum,Day,Generation,401,09:30,10:00,50.05,official_observed_reference,3da39ba3caf4ad06c8f16537e2e3908357bd15587fdfab25652d875b270f4202
2024-04-11,minimum,Day,Consumption,3963,09:30,10:00,50.05,official_observed_reference,3da39ba3caf4ad06c8f16537e2e3908357bd15587fdfab25652d875b270f4202
2024-04-12,maximum,Day,Generation,904,16:30,17:00,50.11,official_observed_reference,29638c62dd9503ab8af80f671576b84f40baa0d269697625a4c5d4b2fd377bc7
2024-04-12,maximum,Day,Consumption,4605,15:30,16:00,49.98,official_observed_reference,29638c62dd9503ab8af80f671576b84f40baa0d269697625a4c5d4b2fd377bc7
2024-04-12,maximum,Evening,Generation,956,22:00,22:30,50.02,official_observed_reference,29638c62dd9503ab8af80f671576b84f40baa0d269697625a4c5d4b2fd377bc7
2024-04-12,maximum,Evening,Consumption,4769,23:00,23:30,49.98,official_observed_reference,29638c62dd9503ab8af80f671576b84f40baa0d269697625a4c5d4b2fd377bc7
2024-04-12,maximum,Morning,Generation,697,05:30,06:00,50.07,official_observed_reference,29638c62dd9503ab8af80f671576b84f40baa0d269697625a4c5d4b2fd377bc7
2024-04-12,maximum,Morning,Consumption,4083,05:30,06:00,50.07,official_observed_reference,29638c62dd9503ab8af80f671576b84f40baa0d269697625a4c5d4b2fd377bc7
2024-04-12,minimum,Night,Generation,458,21:00,21:30,50.01,official_observed_reference,29638c62dd9503ab8af80f671576b84f40baa0d269697625a4c5d4b2fd377bc7
2024-04-12,minimum,Night,Consumption,4076,05:00,05:30,50.00,official_observed_reference,29638c62dd9503ab8af80f671576b84f40baa0d269697625a4c5d4b2fd377bc7
2024-04-12,minimum,Day,Generation,359,08:30,09:00,50.03,official_observed_reference,29638c62dd9503ab8af80f671576b84f40baa0d269697625a4c5d4b2fd377bc7
2024-04-12,minimum,Day,Consumption,3959,09:00,09:30,50.03,official_observed_reference,29638c62dd9503ab8af80f671576b84f40baa0d269697625a4c5d4b2fd377bc7
2024-04-13,maximum,Day,Generation,566,17:30,18:00,50.06,official_observed_reference,aeee9617155e53bfd35cb79726942702607fee742e1cf675f089b961c60b1ab4
2024-04-13,maximum,Day,Consumption,4336,15:30,16:00,50.04,official_observed_reference,aeee9617155e53bfd35cb79726942702607fee742e1cf675f089b961c60b1ab4
2024-04-13,maximum,Evening,Generation,1230,22:00,22:30,50.03,official_observed_reference,aeee9617155e53bfd35cb79726942702607fee742e1cf675f089b961c60b1ab4
