date,interface_name_as_reported,import_mu,month_cumulative_mu,source_daily_average_mu,classification,source_sha256
2024-04-07,400KV KOZHKOD,15.196,113.456,,official_observed_reference,8bdab967ef4db5a0cc3b92e3e5e84ebd738f62b5d03b291298152e8169ff64d0
2024-04-07,400KV NORTH TRSR,8.5356,56.7421,8.106,official_observed_reference,8bdab967ef4db5a0cc3b92e3e5e84ebd738f62b5d03b291298152e8169ff64d0
2024-04-07,400KV TVM,9.698,68.938,,official_observed_reference,8bdab967ef4db5a0cc3b92e3e5e84ebd738f62b5d03b291298152e8169ff64d0
2024-04-07,220KV_KNPA+SBGR +PVUD+EDMN,8.9191,61.0708,8.7244,official_observed_reference,8bdab967ef4db5a0cc3b92e3e5e84ebd738f62b5d03b291298152e8169ff64d0
2024-04-07,110KV_MJSM +PRSLA,0.8842,5.7114,,official_observed_reference,8bdab967ef4db5a0cc3b92e3e5e84ebd738f62b5d03b291298152e8169ff64d0
2024-04-08,400KV MDKA,12.669,96.268,12.0335,official_observed_reference,e396fcfcf53984ff29ac32c9ff196ef158d8df4a62dd5ceee754e86a99ff5560
2024-04-08,400KV PKKD,10.489,79.076,,official_observed_reference,e396fcfcf53984ff29ac32c9ff196ef158d8df4a62dd5ceee754e86a99ff5560
2024-04-08,400KV KOCHI+KOTTAYAM,18.526,135.864,16.983,official_observed_reference,e396fcfcf53984ff29ac32c9ff196ef158d8df4a62dd5ceee754e86a99ff5560
2024-04-08,400KV KOZHKOD,16.218,129.674,,official_observed_reference,e396fcfcf53984ff29ac32c9ff196ef158d8df4a62dd5ceee754e86a99ff5560
2024-04-08,400KV NORTH TRSR,8.5693,65.3114,8.1639,official_observed_reference,e396fcfcf53984ff29ac32c9ff196ef158d8df4a62dd5ceee754e86a99ff5560
2024-04-08,400KV TVM,10.051,78.989,,official_observed_reference,e396fcfcf53984ff29ac32c9ff196ef158d8df4a62dd5ceee754e86a99ff5560
2024-04-08,220KV_KNPA+SBGR +PVUD+EDMN,8.901,69.9718,8.7465,official_observed_reference,e396fcfcf53984ff29ac32c9ff196ef158d8df4a62dd5ceee754e86a99ff5560
2024-04-08,110KV_MJSM +PRSLA,0.9321,6.6435,,official_observed_reference,e396fcfcf53984ff29ac32c9ff196ef158d8df4a62dd5ceee754e86a99ff5560
2024-04-09,400KV MDKA,13.698,109.966,12.2184,official_observed_reference,df2ca97aa7622ced0322bf2e1d73bff63156fd3e9f047be952b2368d436750ff
2024-04-09,400KV PKKD,10.169,89.245,,official_observed_reference,df2ca97aa7622ced0322bf2e1d73bff63156fd3e9f047be952b2368d436750ff
2024-04-09,400KV KOCHI+KOTTAYAM,19.363,155.227,17.2474,official_observed_reference,df2ca97aa7622ced0322bf2e1d73bff63156fd3e9f047be952b2368d436750ff
2024-04-09,400KV KOZHKOD,16.125,145.799,,official_observed_reference,df2ca97aa7622ced0322bf2e1d73bff63156fd3e9f047be952b2368d436750ff
2024-04-09,400KV NORTH TRSR,8.8823,74.1937,8.2437,official_observed_reference,df2ca97aa7622ced0322bf2e1d73bff63156fd3e9f047be952b2368d436750ff
2024-04-09,400KV TVM,10.109,89.098,,official_observed_reference,df2ca97aa7622ced0322bf2e1d73bff63156fd3e9f047be952b2368d436750ff
2024-04-09,220KV_KNPA+SBGR +PVUD+EDMN,8.8916,78.8634,8.7626,official_observed_reference,df2ca97aa7622ced0322bf2e1d73bff63156fd3e9f047be952b2368d436750ff
2024-04-09,110KV_MJSM +PRSLA,0.9381,7.5816,,official_observed_reference,df2ca97aa7622ced0322bf2e1d73bff63156fd3e9f047be952b2368d436750ff
2024-04-10,400KV MDKA,12.974,122.94,12.294,official_observed_reference,f73f7ba4564306aee7a17330d2500e4dbedf00b750144ab4dd0db665ff437d4c
2024-04-10,400KV PKKD,9.65,98.895,,official_observed_reference,f73f7ba4564306aee7a17330d2500e4dbedf00b750144ab4dd0db665ff437d4c
2024-04-10,400KV KOCHI+KOTTAYAM,19.234,174.461,17.4461,official_observed_reference,f73f7ba4564306aee7a17330d2500e4dbedf00b750144ab4dd0db665ff437d4c
2024-04-10,400KV KOZHKOD,15.559,161.358,,official_observed_reference,f73f7ba4564306aee7a17330d2500e4dbedf00b750144ab4dd0db665ff437d4c
2024-04-10,400KV NORTH TRSR,8.2656,82.4593,8.2459,official_observed_reference,f73f7ba4564306aee7a17330d2500e4dbedf00b750144ab4dd0db665ff437d4c
2024-04-10,400KV TVM,10.236,99.334,,official_observed_reference,f73f7ba4564306aee7a17330d2500e4dbedf00b750144ab4dd0db665ff437d4c
2024-04-10,220KV_KNPA+SBGR +PVUD+EDMN,9.819,88.6824,8.8682,official_observed_reference,f73f7ba4564306aee7a17330d2500e4dbedf00b750144ab4dd0db665ff437d4c
2024-04-10,110KV_MJSM +PRSLA,0.9011,8.4827,,official_observed_reference,f73f7ba4564306aee7a17330d2500e4dbedf00b750144ab4dd0db665ff437d4c
2024-04-11,400KV MDKA,13.502,136.442,12.4038,official_observed_reference,0fdae1d4aedf702531bb8dd466119b21c96c76f0a3137a67d536dccdc438a0e2
2024-04-11,400KV PKKD,10.085,108.98,,official_observed_reference,0fdae1d4aedf702531bb8dd466119b21c96c76f0a3137a67d536dccdc438a0e2
2024-04-11,400KV KOCHI+KOTTAYAM,19.923,194.384,17.6713,official_observed_reference,0fdae1d4aedf702531bb8dd466119b21c96c76f0a3137a67d536dccdc438a0e2
2024-04-11,400KV KOZHKOD,15.748,177.106,,official_observed_reference,0fdae1d4aedf702531bb8dd466119b21c96c76f0a3137a67d536dccdc438a0e2
2024-04-11,400KV NORTH TRSR,8.3326,90.7919,8.2538,official_observed_reference,0fdae1d4aedf702531bb8dd466119b21c96c76f0a3137a67d536dccdc438a0e2
2024-04-11,400KV TVM,10.179,109.513,,official_observed_reference,0fdae1d4aedf702531bb8dd466119b21c96c76f0a3137a67d536dccdc438a0e2
2024-04-11,220KV_KNPA+SBGR +PVUD+EDMN,9.084,97.7664,8.8879,official_observed_reference,0fdae1d4aedf702531bb8dd466119b21c96c76f0a3137a67d536dccdc438a0e2
2024-04-11,110KV_MJSM +PRSLA,0.8934,9.3762,,official_observed_reference,0fdae1d4aedf702531bb8dd466119b21c96c76f0a3137a67d536dccdc438a0e2
2024-04-12,400KV MDKA,13.509,149.951,12.4959,official_observed_reference,6c50e247223675460bb85780a97ae17b3e339765252d1deaa45f5b658403359a
2024-04-12,400KV PKKD,9.67,118.65,,official_observed_reference,6c50e247223675460bb85780a97ae17b3e339765252d1deaa45f5b658403359a
2024-04-12,400KV KOCHI+KOTTAYAM,19.823,214.207,17.8506,official_observed_reference,6c50e247223675460bb85780a97ae17b3e339765252d1deaa45f5b658403359a
